hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
hey,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
What courses are offered at ACEM?,"ACEM offers a variety of undergraduate and postgraduate courses, including B.Tech in CSE, AIML, Mechanical, Civil, and ECE, BBA in FS&B and Digital Marketing, BCA, BCA-Data Science, and MBA. The curriculum is designed to meet global industry standards and focuses on practical applications.","[1.0, 1.0, 1.0, 1.0]"
can you provide the contact number,Certainly! The contact number for ACEM College admissions is +91-8527538785. Feel free to reach out for any admission-related queries.,"[1.0, 1.0, 1.0, 1.0]"
Where is the college located?,"Aravali College of Engineering and Management is located in Faridabad, which is known for its renowned engineering institutions. The college boasts an industry-driven curriculum, experienced faculty, and excellent placement opportunities, making it one of the best colleges in Faridabad for computer science engineering. Its modern infrastructure, including smart classrooms, a well-stocked library, and recreational areas, further enhances the learning experience for students. Additionally, the college provides placement assistance to ensure graduates have a wide range of career opportunities.","[1.0, 1.0, 1.0, 1.0]"
Principal name?,"I'm an admission assistant for ACEM college and I'm afraid the context provided does not include information about the principal's name. Please check the college's official website or contact the college directly for this information.

Alternatively, you can visit the ""About Us"" or ""Leadership"" section of the college's website, where the principal's name and profile are usually listed.

Thank you for your question! If you have any more queries, feel free to ask.","[1.0, 1.0, 1.0, 1.0]"
When  will admission starts,"Admission for the B.Tech course in Computer Science & Engineering at Aravali College typically starts with registration and application submission, including relevant documentation. Eligible candidates will receive admission confirmation and must apply for admission on or before August 15 every year. For more information, interested candidates may call the admission helpline at +91-8527538785 or visit the college's website.","[1.0, 1.0, 1.0, 1.0]"
What are the placement statistics?,"I'm an admission assistant for ACEM College and I'm glad you're interested in our placement statistics! Unfortunately, the information provided on the website does not include specific placement statistics. However, it does mention ""Excellent Placement"" as one of the features of the college. For the most up-to-date and detailed placement statistics, I recommend contacting the college's career services department or visiting their placement page on the website.","[1.0, 1.0, 1.0, 1.0]"
Where is the college located?,"The location of ACEM-Aravali College of Engineering and Management is not mentioned explicitly on the provided website. Therefore, I'm unable to answer this question accurately without additional information. Please check the college's official website or contact their admissions office for more details.","[1.0, 1.0, 1.0, 1.0]"
principal name?,"I'm an admission assistant, and the information about the principal's name is not explicitly provided on the website. For the most accurate and up-to-date information, please visit the college's official website or contact the administration directly.","[1.0, 1.0, 1.0, 1.0]"
What courses are offered at ACEM?,"ACEM offers 16+ courses, including undergraduate and postgraduate programs. Management courses include BBA (Digital Marketing) and MBA. Engineering programs include B.Tech in Computer Science & Engineering, Artificial Intelligence & Machine Learning, and more. Other courses are available as well. Please visit the website for detailed information.","[1.0, 1.0, 1.0, 1.0]"
list them,"ACEM College offers 6 courses:

1. B.Tech in Computer Science & Engineering (CSE) - an undergraduate program with ample opportunities for today's fast-paced generation.
2. B.Tech in Artificial Intelligence and Machine Learning (AIML) - an undergraduate program focusing on advanced learning in AI, ML, and deep learning.
3. B.Tech in Mechanical Engineering - an undergraduate program in the field of mechanical engineering.
4. Masters of Business Administration (MBA) - a 2-year postgraduate program in management.
5. BCA (General) - a 3-year undergraduate program in computer applications.
6. BCA Data Science (DS) - a 3-year undergraduate program specializing in data science.

ACEM College also provides advanced labs, expert teachers, library facilities, professional development programs, excellent placement services, and global certifications.","[1.0, 1.0, 1.0, 1.0]"
list 16+  course,"ACEM College offers over 16 courses, including:

1. BBA (Digital Marketing) - a 3-year undergraduate program
2. MBA - a 2-year postgraduate program in management
3. B.Tech in Computer Science & Engineering
4. B.Tech in Artificial Intelligence and Machine Learning

Other courses are available in various fields such as engineering, management, and computer applications. For more information, please visit the college's website or contact the admission office.","[1.0, 1.0, 1.0, 1.0]"
What courses are offered at ACEM?,"ACEM offers a four-year B.Tech program in various disciplines of engineering and technology. The curriculum is designed to develop students into excellent scientists, engineers, technologists, thinkers, managers, and leaders, while also instilling ethical values and encouraging entrepreneurship. The college is approved by AICTE and affiliated to YMCA University, Faridabad. Extracurricular activities are also available to support students' all-round development.","[1.0, 1.0, 1.0, 1.0]"
Where is the college located?,"The website context does not provide information on the location of the Aravali College of Engineering and Management. However, it mentions that the college is one of the top ME colleges in Delhi NCR, suggesting that it is located in the Delhi National Capital Region in India. For specific address details, please refer to the college's contact page or other relevant resources.","[1.0, 1.0, 1.0, 1.0]"
who is the principle of this college,"The principle of the college is not explicitly mentioned in the provided context. The information available includes details about the college's focus on holistic development, industry readiness, and lifelong learning, as well as its vision to prepare students for placements and conduct faculty development programs. However, there is no mention of the college's principal.","[1.0, 1.0, 1.0, 1.0]"
What courses are offered at ACEM?,"ACEM offers a four-year undergraduate program in Engineering, approved by AICTE and affiliated to YMCA University, Faridabad. The college provides courses in various disciplines such as Computer Science and Engineering, Electronics and Communication Engineering, Mechanical Engineering, and Civil Engineering. The curriculum is designed to equip students with the necessary skills and knowledge to excel in their respective fields.","[0.8, 0.8, 0.8, 0.8]"
who is the principle of this college,"I'm an admission assistant for ACEM college, and I'm happy to help answer your question. However, I don't have information on the current principal of the college. Our focus is on providing a holistic education that prepares students for future opportunities by offering an excellent academic environment and opportunities to participate in co-curricular activities.","[0.8, 0.8, 0.8, 0.8]"
principle of  aravali college,"The guiding principle of Aravali College of Engineering and Management (ACEM) is to provide quality education and create a conducive learning environment that fosters innovation, creativity, and excellence. ACEM is committed to nurturing students to become responsible and successful professionals who contribute positively to society. The college emphasizes on holistic development, ethical values, and social responsibility, making it a preferred choice for students aspiring to excel in engineering and management fields.","[0.8, 0.8, 0.8, 0.8]"
who is the director of this college,"The name of the director is not explicitly mentioned in the provided message. However, they are referred to as ""I"", indicating that the message is written by the director themselves. If you need further information, please check the college's official website or contact their admission office directly.","[0.8, 0.8, 0.8, 0.8]"
who is the director of this college,"❌ Mistral API error: Client error '422 Unprocessable Entity' for url 'https://api.mistral.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422","[0.9, 0.9, 0.9, 0.9]"
who is the director of this college,"❌ Mistral API error: Client error '422 Unprocessable Entity' for url 'https://api.mistral.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422","[0.9, 0.9, 0.9, 0.9]"
hello,"Hello! I'm AskAria, your ACEM Admission Buddy. How may I help you today?",[]
how much you know about this colleg e,"❌ Mistral API error: Client error '422 Unprocessable Entity' for url 'https://api.mistral.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"❌ Mistral API error: Client error '422 Unprocessable Entity' for url 'https://api.mistral.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422","[0.9, 0.9, 0.9, 0.9]"
What courses are offered at ACEM?,"❌ Mistral API error: Client error '422 Unprocessable Entity' for url 'https://api.mistral.ai/v1/chat/completions'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/422","[0.9, 0.9, 0.9, 0.9]"
Does the college offer scholarships?,"Yes, ACEM College offers merit-based scholarships to deserving students. The scholarships are awarded based on academic performance and other criteria. Interested students are encouraged to check the college website for more information and application details.","[0.9, 0.9, 0.9, 0.9]"
Where is the college located?,"The College of Engineering & Management, specializing in AI and ML, is located in Faridabad, Haryana. It is one of the top ME colleges in Delhi NCR and aims to be among the top ten such colleges in the country by 2025. The college focuses on the holistic development of its students.","[0.9, 0.9, 0.9, 0.9]"
name of principal?,"I'm sorry, the provided context does not mention the name of the principal of the institute. My apologies for any inconvenience.","[0.9, 0.9, 0.9, 0.9]"
chairman?,"Shri Dhan Singh Bhadana is the Chairman of ACEM College. His message emphasizes the importance of education in shaping the future of students and the nation. He wishes all the students the very best in their academic and personal pursuits. The Chairman's vision is to provide quality education and create a conducive learning environment for students to excel in their chosen fields. He believes in the power of hard work, dedication, and perseverance to achieve success.","[0.9, 0.9, 0.9, 0.9]"
Director?,The Director of Aravali College of Engineering and Management is Dr. Prof. Suresh Kumar Jindal. He holds an M.Tech degree from IIT Kharagpur and serves as the Director-Principal of the college. His message emphasizes the college's commitment to providing quality education and fostering a conducive learning environment.,"[0.9, 0.9, 0.9, 0.9]"
kindly let me know the name of principle,"The principles of design and development for software systems include modularity, abstraction, encapsulation, hierarchy, separation of concerns, and reuse. These principles help in creating software that is easy to maintain, scalable, and efficient. Additionally, principles such as user-centered design and iterative development can lead to software that better meets user needs and is more likely to be successful.","[0.9, 0.9, 0.9, 0.9]"
